protein
tgm2_resid
cxcl9_resid
dkk4_resid
nos2_resid
ppp1r14d_resid
tnfrsf8_resid
ckmt1a_ckmt1b_resid
cd160_resid
cpa2_resid
tnfrsf9_resid
reg3a_resid
slc9a3r2_resid
muc2_resid
ccl11_resid
smad5_resid
xcl1_resid
tigit_resid
cd34_resid
rnaset2_resid
cacnb1_resid
