protein
tgm2_resid
cxcl9_resid
cpa2_resid
itgb7_resid
ccl11_resid
nos2_resid
slc9a3r2_resid
muc2_resid
acy3_resid
ppp1r14d_resid
rbp2_resid
tnfrsf8_resid
smad5_resid
cxcl11_resid
tigit_resid
tnfrsf9_resid
fabp2_resid
cd34_resid
il10_resid
ckmt1a_ckmt1b_resid
