protein
tgm2_resid
cxcl9_resid
ccl11_resid
cpa2_resid
muc2_resid
itgb7_resid
nos2_resid
slc9a3r2_resid
ppp1r14d_resid
fabp2_resid
rbp2_resid
dkk4_resid
fabp6_resid
reg3a_resid
acy3_resid
ckmt1a_ckmt1b_resid
BMI
tigit_resid
il10_resid
cxcl11_resid
