protein
tgm2_resid
cxcl9_resid
nos2_resid
ppp1r14d_resid
itgb7_resid
cd160_resid
tnfrsf8_resid
fabp6_resid
dkk4_resid
cpa2_resid
cxcl11_resid
rnaset2_resid
smad5_resid
tigit_resid
tctn3_resid
ckmt1a_ckmt1b_resid
grp_resid
kiaa2013_resid
cd34_resid
pon1_resid
