med21_resid
ptpn9_resid
il17c_resid
cd300e_resid
folh1_resid
ikzf2_resid
snu13_resid
metap1_resid
pdrg1_resid
shbg_resid
smc3_resid
nptx2_resid
ctsl_resid
ca6_resid
sirt1_resid
psmc3_resid
pros1_resid
adamts4_resid
kiaa2013_resid
spred2_resid
ptprh_resid
anxa10_resid
b3gnt7_resid
pdcd1lg2_resid
arhgef5_resid
